engine_id,cycle,op_setting_1,op_setting_2,op_setting_3,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,sensor_2_avg5,sensor_2_avg10,sensor_2_avg20,sensor_2_avg30,sensor_2_diff,sensor_4_avg5,sensor_4_avg10,sensor_4_avg20,sensor_4_avg30,sensor_4_diff,sensor_11_avg5,sensor_11_avg10,sensor_11_avg20,sensor_11_avg30,sensor_11_diff,sensor_15_avg5,sensor_15_avg10,sensor_15_avg20,sensor_15_avg30,sensor_15_diff,sensor_17_avg5,sensor_17_avg10,sensor_17_avg20,sensor_17_avg30,sensor_17_diff,Health_Status,Predicted_RUL,Health_Score,Recommendation
1,31,-0.0006,0.0004,100.0,518.67,642.58,1581.22,1398.91,14.62,21.61,554.42,2388.08,9056.4,1.3,47.23,521.79,2388.06,8130.11,8.4024,0.03,393,2388,100.0,38.81,23.3552,642.266,642.295,642.3500000000001,642.2956666666666,-0.2099999999999227,1399.9180000000001,1400.7189999999998,1401.4195,1401.6366666666665,-2.0599999999999454,47.288,47.288,47.313,47.31233333333333,-0.1700000000000017,8.4262,8.42013,8.419920000000001,8.416353333333333,-0.008599999999999497,392.0,392.2,391.8,391.73333333333335,2.0,Healthy,268.87722222222226,89,Operating Normally
2,49,0.0018,-0.0001,100.0,518.67,642.55,1586.59,1410.83,14.62,21.61,553.52,2388.1,9044.77,1.3,47.67,521.74,2388.09,8126.9,8.4505,0.03,391,2388,100.0,38.81,23.2618,642.672,642.712,642.7149999999999,642.687,-0.09000000000003183,1406.778,1407.271,1406.914,1406.6313333333335,-1.1300000000001091,47.506,47.509,47.491,47.48866666666667,0.23000000000000398,8.442260000000001,8.44631,8.44079,8.439803333333334,0.0039999999999995595,392.2,392.4,392.9,392.9,-1.0,Healthy,144.5905752371732,48,Operating Normally
3,126,-0.0016,0.0004,100.0,518.67,642.88,1589.75,1418.89,14.62,21.61,552.59,2388.16,9049.26,1.3,47.88,520.83,2388.14,8131.46,8.4119,0.03,395,2388,100.0,38.93,23.274,642.874,642.854,642.924,642.8839999999999,-0.36000000000001364,1413.35,1413.986,1413.843,1412.599333333333,6.290000000000191,47.706,47.705,47.674,47.644999999999996,0.2600000000000051,8.458680000000001,8.4621,8.460745,8.457996666666666,-0.0489000000000015,394.2,393.9,393.55,393.53333333333336,1.0,Warning,59.84735942760942,20,Schedule Maintenance Soon
4,106,0.0012,0.0004,100.0,518.67,642.78,1594.53,1406.88,14.62,21.61,552.64,2388.13,9051.3,1.3,47.65,521.88,2388.11,8133.64,8.4634,0.03,395,2388,100.0,38.58,23.2581,642.786,642.838,642.7560000000001,642.7356666666667,0.10000000000002274,1410.736,1411.3220000000001,1410.4569999999999,1409.6870000000001,-1.3299999999999272,47.642,47.63,47.5855,47.586666666666666,-0.03999999999999915,8.45182,8.45089,8.447855,8.444080000000001,0.013600000000000279,393.6,393.4,393.35,393.1666666666667,0.0,Warning,89.20794662309369,30,Schedule Maintenance Soon
5,98,-0.0013,-0.0004,100.0,518.67,642.27,1589.94,1419.36,14.62,21.61,553.29,2388.1,9053.99,1.3,47.46,521.0,2388.15,8125.74,8.4362,0.03,394,2388,100.0,38.75,23.4117,642.702,642.722,642.6635,642.6426666666666,-0.4500000000000455,1411.7959999999998,1409.859,1409.585,1409.037,4.169999999999845,47.535999999999994,47.533,47.555,47.575,0.060000000000002274,8.43662,8.45198,8.444804999999999,8.443433333333333,0.014499999999999957,393.4,393.5,393.35,393.2,0.0,Healthy,94.97715876142125,32,Operating Normally
6,105,0.0076,-0.0003,100.0,518.67,643.05,1586.94,1404.49,14.62,21.61,553.73,2388.14,9055.83,1.3,47.51,521.56,2388.15,8139.02,8.4452,0.03,393,2388,100.0,38.91,23.3269,642.586,642.604,642.626,642.6476666666666,0.9799999999999045,1406.0439999999999,1407.1560000000002,1408.398,1408.6453333333334,-4.3900000000001,47.516,47.498000000000005,47.511,47.495333333333335,0.03999999999999915,8.448739999999999,8.442269999999999,8.437805,8.43816,-0.015900000000000247,392.8,393.2,393.05,393.03333333333336,0.0,Healthy,102.32197262281602,34,Operating Normally
7,160,0.0016,-0.0001,100.0,518.67,642.1,1589.59,1413.57,14.62,21.61,553.42,2388.04,9070.99,1.3,47.32,522.32,2388.07,8149.19,8.4028,0.03,393,2388,100.0,38.91,23.2763,642.216,642.242,642.3104999999999,642.2653333333333,-0.38999999999998636,1407.3719999999998,1403.684,1403.6805,1402.9270000000001,5.589999999999918,47.35,47.373000000000005,47.3735,47.352333333333334,-0.10999999999999943,8.4241,8.41356,8.414425,8.412006666666667,-0.042200000000001125,393.0,393.1,392.8,392.6,0.0,Warning,124.42535360757807,41,Schedule Maintenance Soon
8,166,0.0016,-0.0005,100.0,518.67,642.59,1591.91,1413.89,14.62,21.61,553.51,2388.14,9049.96,1.3,47.59,520.53,2388.12,8127.84,8.4744,0.03,393,2388,100.0,38.73,23.2465,642.8900000000001,642.779,642.6195,642.6003333333333,-0.67999999999995,1410.176,1409.393,1408.3875,1408.9546666666668,7.770000000000209,47.546,47.549,47.563,47.558666666666674,-0.01999999999999602,8.4539,8.45778,8.453765,8.447796666666667,0.03029999999999866,392.8,393.1,393.0,393.0,1.0,Warning,61.36731272893772,20,Schedule Maintenance Soon
9,55,-0.0003,0.0004,100.0,518.67,642.27,1593.61,1410.27,14.62,21.61,552.58,2388.13,9057.57,1.3,47.58,521.65,2388.16,8134.76,8.4293,0.03,392,2388,100.0,38.78,23.3515,642.55,642.567,642.6189999999999,642.6263333333334,0.17999999999994998,1407.5300000000002,1408.474,1408.426,1409.165,5.559999999999945,47.583999999999996,47.522999999999996,47.53,47.51733333333333,0.0799999999999983,8.44332,8.43784,8.43399,8.435866666666666,-0.00870000000000104,392.8,393.0,393.1,393.2,0.0,Healthy,125.30807174424794,42,Operating Normally
10,192,-0.0018,0.0004,100.0,518.67,643.0,1589.5,1398.99,14.62,21.61,552.88,2388.11,9060.88,1.3,47.59,521.82,2388.08,8141.91,8.4194,0.03,393,2388,100.0,38.79,23.2956,642.798,642.551,642.5495000000001,642.5183333333333,0.4900000000000091,1403.658,1405.9360000000001,1403.257,1403.337,-5.4500000000000455,47.436,47.483000000000004,47.45399999999999,47.44833333333334,0.020000000000003126,8.4301,8.43257,8.430494999999999,8.428886666666667,0.012100000000000222,392.8,392.8,392.6,392.53333333333336,1.0,Warning,103.18166666666667,34,Schedule Maintenance Soon
