engine_id,cycle,op_setting_1,op_setting_2,op_setting_3,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,RUL,sensor_2_avg5,sensor_2_avg10,sensor_2_avg20,sensor_2_avg30,sensor_4_avg5,sensor_4_avg10,sensor_4_avg20,sensor_4_avg30,sensor_11_avg5,sensor_11_avg10,sensor_11_avg20,sensor_11_avg30,sensor_15_avg5,sensor_15_avg10,sensor_15_avg20,sensor_15_avg30,sensor_17_avg5,sensor_17_avg10,sensor_17_avg20,sensor_17_avg30,sensor_2_diff,sensor_4_diff,sensor_11_diff,sensor_15_diff,sensor_17_diff,Health_Status,Health_Score,Predicted_RUL,Recommendation
1,46,0.0003,0.0001,100.0,518.67,642.43,1588.29,1401.27,14.62,21.61,553.76,2388.06,9060.38,1.3,47.2,522.02,2388.08,8128.71,8.3977,0.03,393,2388,100.0,38.93,23.3745,146,642.25,642.182,642.265,642.3306666666666,1401.8120000000001,1401.313,1400.9940000000001,1400.3083333333334,47.382000000000005,47.301,47.32000000000001,47.30166666666666,8.40964,8.41076,8.413644999999999,8.41407,392.4,392.2,391.95,392.03333333333336,-0.10000000000002274,2.1099999999999,-0.25,-0.012199999999999989,0.0,Healthy,55,153.775087535014,Operating Normally
2,10,-0.0045,0.0002,100.0,518.67,641.99,1586.37,1394.86,14.62,21.6,554.63,2387.99,9058.88,1.3,47.21,521.99,2387.97,8138.64,8.3982,0.03,391,2388,100.0,39.2,23.6005,277,641.97,641.852,641.852,641.852,1396.534,1396.464,1396.464,1396.464,47.14,47.144,47.144,47.144,8.38904,8.392109999999999,8.392109999999999,8.392109999999999,391.0,391.0,391.0,391.0,0.009999999999990905,-0.15000000000009095,0.07000000000000028,0.011400000000000077,1.0,Healthy,100,277.19666666666666,Operating Normally
3,79,0.0006,0.0004,100.0,518.67,642.31,1582.4,1403.49,14.62,21.61,553.6,2388.03,9063.54,1.3,47.28,522.72,2388.0,8144.12,8.384,0.03,393,2388,100.0,38.92,23.3451,100,642.4979999999999,642.5350000000001,642.3695,642.372,1404.466,1401.6290000000001,1401.428,1401.5736666666667,47.284000000000006,47.314,47.30499999999999,47.291333333333334,8.4049,8.406360000000001,8.41473,8.411126666666666,392.0,392.0,392.25,392.1,-0.12000000000000455,2.9600000000000364,-0.10000000000000142,-0.03340000000000032,3.0,Warning,44,123.26477639852426,Schedule Maintenance Soon
4,185,-0.0031,0.0005,100.0,518.67,643.27,1607.57,1429.22,14.62,21.61,551.91,2388.1,9184.41,1.3,48.19,520.12,2388.12,8246.77,8.5254,0.03,396,2388,100.0,38.47,23.118,4,643.594,643.504,643.3325,643.2293333333333,1425.102,1425.9029999999998,1421.413,1419.4366666666667,48.044,47.985,47.902,47.82966666666666,8.50378,8.50284,8.493735,8.483703333333333,396.2,396.1,395.95,395.3666666666667,-0.17000000000007276,2.9500000000000455,0.14999999999999858,0.02430000000000021,1.0,Critical,2,4.398394450177732,Immediate Maintenance Required
5,31,-0.0014,-0.0003,100.0,518.67,642.06,1585.84,1402.33,14.62,21.61,554.3,2387.97,9064.3,1.3,47.08,522.24,2387.99,8146.32,8.3824,0.03,391,2388,100.0,39.12,23.5503,238,642.278,642.113,642.0550000000001,642.102,1397.898,1398.461,1397.0629999999999,1396.177,47.12,47.155,47.13199999999999,47.150333333333336,8.39194,8.38813,8.39629,8.398176666666666,391.0,391.4,391.45,391.46666666666664,-0.6000000000000227,4.639999999999873,-0.1600000000000037,-0.021399999999999864,-1.0,Healthy,84,231.8366506479184,Operating Normally
6,184,0.0022,0.0004,100.0,518.67,643.52,1598.05,1432.22,14.62,21.61,551.31,2388.25,9031.12,1.3,48.07,519.42,2388.3,8110.1,8.4857,0.03,397,2388,100.0,38.58,22.9949,4,643.746,643.714,643.663,643.5229999999999,1428.756,1426.554,1426.065,1424.3369999999998,48.134,48.131,48.087,48.04066666666667,8.50132,8.505120000000002,8.498305,8.494403333333333,396.2,396.1,395.75,395.5,-0.4900000000000091,1.75,0.020000000000003126,-0.04370000000000118,1.0,Critical,1,3.4566666666666666,Immediate Maintenance Required
7,67,0.0005,0.0,100.0,518.67,642.61,1582.7,1402.68,14.62,21.61,554.02,2388.0,9070.66,1.3,47.35,522.2,2388.01,8149.89,8.3811,0.03,391,2388,100.0,38.94,23.2758,192,642.472,642.316,642.297,642.3163333333334,1399.684,1398.673,1398.5980000000002,1398.9579999999999,47.3,47.277,47.272499999999994,47.26133333333334,8.40762,8.404300000000001,8.40867,8.408676666666667,391.4,391.2,391.55,391.56666666666666,0.07000000000005002,3.4500000000000455,-0.07000000000000028,-0.021599999999999397,-2.0,Healthy,66,183.52179966329965,Operating Normally
8,74,0.0003,0.0003,100.0,518.67,643.27,1589.11,1406.93,14.62,21.61,553.28,2388.17,9044.45,1.3,47.55,520.98,2388.15,8124.58,8.4337,0.03,394,2388,100.0,38.79,23.2157,76,642.836,642.7819999999999,642.7270000000001,642.721,1410.76,1411.295,1410.3094999999998,1410.1760000000002,47.63,47.647999999999996,47.6375,47.626,8.44496,8.44895,8.451350000000001,8.447806666666667,393.8,393.9,393.55,393.5,0.5099999999999909,-5.970000000000027,-0.15000000000000568,-0.027699999999999392,1.0,Warning,29,81.77009579550882,Schedule Maintenance Soon
9,96,0.001,-0.0001,100.0,518.67,642.41,1584.72,1397.68,14.62,21.61,554.18,2387.96,9068.23,1.3,47.35,521.87,2388.01,8152.14,8.4256,0.03,391,2388,100.0,39.03,23.4274,105,642.1879999999999,642.169,642.072,642.0669999999999,1399.8700000000001,1399.687,1400.1235000000001,1400.6046666666668,47.312,47.27,47.259,47.258,8.39324,8.39221,8.401065,8.399456666666667,391.4,391.5,391.75,391.7,0.029999999999972715,2.6000000000001364,0.1700000000000017,-0.00020000000000131024,-1.0,Warning,39,108.31388262933595,Schedule Maintenance Soon
10,155,-0.0059,-0.0003,100.0,518.67,642.79,1583.61,1408.72,14.62,21.61,553.47,2388.04,9065.61,1.3,47.54,521.11,2388.05,8150.01,8.3938,0.03,395,2388,100.0,38.79,23.3395,67,642.438,642.391,642.366,642.4050000000001,1405.426,1405.8650000000002,1404.6339999999998,1404.5876666666666,47.470000000000006,47.42100000000001,47.382999999999996,47.365,8.41896,8.41741,8.417910000000001,8.420350000000001,392.6,392.7,392.7,392.53333333333336,0.7699999999999818,6.009999999999991,0.01999999999999602,-0.019199999999999662,4.0,Warning,29,80.04113405379255,Schedule Maintenance Soon
11,25,0.0014,-0.0004,100.0,518.67,641.73,1580.23,1403.54,14.62,21.61,555.36,2388.05,9055.87,1.3,47.3,522.64,2387.99,8137.69,8.391,0.03,394,2388,100.0,38.73,23.272,215,642.13,642.183,642.2125,642.1928,1399.4479999999999,1398.445,1399.2559999999999,1398.2136,47.236000000000004,47.233000000000004,47.208000000000006,47.2136,8.396519999999999,8.39973,8.392305,8.390548,392.2,391.9,391.75,391.68,-0.4199999999999591,3.230000000000018,0.14999999999999858,-0.021399999999999864,2.0,Healthy,74,205.79136201182726,Operating Normally
12,140,0.0009,0.0002,100.0,518.67,643.04,1589.71,1418.94,14.62,21.61,553.26,2388.27,9048.85,1.3,47.77,520.49,2388.22,8122.92,8.4778,0.03,394,2388,100.0,38.63,23.1876,30,643.008,643.049,643.0455,643.0496666666666,1419.162,1419.8020000000001,1418.9940000000001,1417.1736666666666,47.878,47.844,47.815,47.781666666666666,8.47456,8.47999,8.468525,8.464653333333334,394.6,394.7,394.35,394.1,0.16999999999995907,-8.700000000000045,0.0,0.013700000000000045,-2.0,Critical,11,31.132703856257262,Immediate Maintenance Required
13,136,0.0003,0.0003,100.0,518.67,643.24,1599.02,1417.34,14.62,21.61,552.61,2388.12,9096.29,1.3,47.78,520.82,2388.14,8171.5,8.4764,0.03,395,2388,100.0,38.49,23.1211,27,643.206,643.0719999999999,643.0165,643.0113333333334,1419.002,1417.349,1415.798,1414.861,47.8,47.781000000000006,47.7395,47.70966666666667,8.47444,8.4598,8.457835,8.45893,394.0,394.3,394.3,394.1666666666667,0.2599999999999909,-0.44000000000005457,0.020000000000003126,-0.02740000000000009,2.0,Critical,10,28.96840883753927,Immediate Maintenance Required
14,20,0.0001,-0.0002,100.0,518.67,642.65,1589.79,1407.12,14.62,21.61,553.24,2388.1,9060.2,1.3,47.45,521.44,2388.07,8133.81,8.394,0.03,393,2388,100.0,38.97,23.2942,160,642.568,642.577,642.6034999999999,642.6034999999999,1404.5400000000002,1405.616,1406.5865,1406.5865,47.528,47.543,47.4775,47.4775,8.427940000000001,8.426350000000001,8.432649999999999,8.432649999999999,393.0,393.4,393.35,393.35,0.11000000000001364,0.4199999999998454,-0.1699999999999946,-0.04839999999999911,2.0,Healthy,57,159.11059662244045,Operating Normally
15,162,0.0021,-0.0,100.0,518.67,642.85,1593.57,1409.35,14.62,21.61,553.6,2388.1,9065.83,1.3,47.59,521.24,2388.07,8135.21,8.4355,0.03,393,2388,100.0,38.85,23.352,45,642.8280000000001,642.827,642.72,642.6396666666666,1408.7220000000002,1408.274,1407.114,1406.4156666666665,47.666000000000004,47.6,47.55,47.51233333333334,8.44768,8.44222,8.441514999999999,8.440416666666666,392.8,393.0,392.9,392.8666666666667,-0.07999999999992724,-0.5500000000001819,-0.1699999999999946,-0.03250000000000064,0.0,Warning,20,54.14787775549731,Schedule Maintenance Soon
16,31,-0.0016,-0.0003,100.0,518.67,642.79,1593.29,1414.7,14.62,21.61,553.23,2388.14,9066.42,1.3,47.61,521.67,2388.12,8140.06,8.4621,0.03,392,2388,100.0,38.7,23.3235,178,642.6899999999999,642.67,642.715,642.757,1409.6779999999999,1407.572,1409.2495,1408.9643333333333,47.617999999999995,47.625,47.6085,47.59866666666666,8.45994,8.45719,8.456685,8.453439999999999,393.6,393.2,393.3,393.2,0.2199999999999136,7.990000000000009,0.14000000000000057,0.00140000000000029,-1.0,Healthy,65,179.11467393753205,Operating Normally
17,31,0.0,0.0003,100.0,518.67,642.21,1577.4,1400.16,14.62,21.61,554.3,2388.02,9053.12,1.3,47.28,522.21,2388.0,8141.78,8.3891,0.03,391,2388,100.0,38.94,23.3951,245,642.268,642.213,642.0350000000001,642.0723333333333,1395.7,1396.808,1397.322,1397.4693333333335,47.20399999999999,47.217,47.1925,47.202666666666666,8.41176,8.40665,8.40264,8.399040000000001,392.8,392.4,391.95,391.9,0.16000000000008185,6.3900000000001,0.10999999999999943,-0.02850000000000108,-2.0,Healthy,84,232.46319282181776,Operating Normally
18,139,-0.0006,0.0002,100.0,518.67,642.44,1591.67,1397.75,14.62,21.61,553.03,2388.02,9092.44,1.3,47.35,522.03,2388.03,8163.4,8.4336,0.03,394,2388,100.0,38.71,23.3199,56,642.5260000000001,642.657,642.4970000000001,642.419,1403.226,1403.461,1402.0915,1402.8103333333333,47.398,47.368,47.3495,47.348,8.440560000000001,8.44018,8.427455,8.42723,393.6,393.2,392.7,392.3666666666667,-0.14999999999997726,-11.259999999999991,0.14999999999999858,-0.03449999999999953,0.0,Warning,22,60.591598065299074,Schedule Maintenance Soon
19,129,0.0018,0.0004,100.0,518.67,643.44,1589.42,1420.91,14.62,21.61,552.27,2388.19,9043.52,1.3,47.94,520.86,2388.19,8123.83,8.4572,0.03,394,2388,100.0,38.51,23.2079,29,643.3140000000001,643.251,643.184,643.1023333333334,1420.216,1419.3139999999999,1418.267,1416.9633333333334,47.962,47.903999999999996,47.8395,47.809000000000005,8.476140000000001,8.47571,8.476344999999998,8.47514,394.0,394.1,394.2,394.0,0.2600000000001046,1.4500000000000455,-0.13000000000000256,-0.023099999999999454,-1.0,Critical,10,26.65339947089947,Immediate Maintenance Required
